order_id,customer_id,merchant_id,category,item_count,unit_price,total_amount,order_status,payment_method,order_date
ORD-100023,CUST-8849,MCH-214,Health & Personal Care,3,258.38,775.14,Delivered,Credit Card,2026-06-10
ORD-100024,CUST-3047,MCH-470,Apparel & Fashion,1,79.77,89.76,Cancelled,Stripe,2026-04-16
ORD-100025,CUST-3747,MCH-116,Apparel & Fashion,1,17.2,17.2,Delivered,PayPal,2026-08-12
ORD-100026,CUST-1189,MCH-388,Electronics,3,128.51,395.52,Delivered,Stripe,2026-04-28
ORD-100027,CUST-3734,MCH-430,Apparel & Fashion,1,9.23,14.22,Delivered,Stripe,2026-04-29
ORD-100028,CUST-4005,MCH-603,Home & Kitchen,1,157.28,167.27,Delivered,UPI / NetBanking,2026-05-15
ORD-100029,CUST-5658,MCH-141,Electronics,1,18.18,18.18,Delivered,PayPal,2026-05-06
ORD-100030,CUST-2899,MCH-328,Sports & Fitness,1,87.89,92.88,Delivered,PayPal,2026-09-08
ORD-100031,CUST-8734,MCH-231,Home & Kitchen,5,18.02,90.1,Delivered,Stripe,2026-04-17
ORD-100032,CUST-2267,MCH-586,Home & Kitchen,2,139.29,278.58,Delivered,UPI / NetBanking,2026-04-29
ORD-100033,CUST-2528,MCH-717,Electronics,2,8.78,22.55,Delivered,Stripe,2026-08-11
ORD-100034,CUST-4556,MCH-238,Electronics,2,54.13,108.26,Shipped,Stripe,2026-04-27
ORD-100035,CUST-4890,MCH-248,Sports & Fitness,5,18.97,99.84,Delivered,Stripe,2026-05-23
ORD-100036,CUST-9838,MCH-487,Electronics,1,24.76,24.76,Delivered,PayPal,2026-05-09
ORD-100037,CUST-6393,MCH-338,Electronics,3,68.61,205.83,Delivered,Credit Card,2026-07-29
ORD-100038,CUST-9792,MCH-368,Books & Media,3,48.36,150.07,Refunded,UPI / NetBanking,2026-08-25
ORD-100039,CUST-9433,MCH-386,Health & Personal Care,1,36.27,41.26,Delivered,Credit Card,2026-05-28
ORD-100040,CUST-8513,MCH-487,Home & Kitchen,4,51.57,206.28,Delivered,Stripe,2026-06-05
ORD-100041,CUST-3612,MCH-354,Health & Personal Care,1,56.88,56.88,Delivered,Credit Card,2026-08-02
ORD-100042,CUST-8041,MCH-371,Electronics,1,10.07,20.06,Delivered,Stripe,2026-09-11
ORD-100043,CUST-7235,MCH-203,Health & Personal Care,2,63.64,127.28,Delivered,Stripe,2026-03-27
ORD-100044,CUST-6486,MCH-148,Electronics,2,38.63,82.25,Delivered,Stripe,2026-08-19
ORD-100045,CUST-8099,MCH-397,Electronics,2,51.8,108.59,Delivered,PayPal,2026-07-24
ORD-100046,CUST-1775,MCH-441,Apparel & Fashion,3,23.95,81.84,Shipped,Stripe,2026-08-19
ORD-100047,CUST-9226,MCH-411,Apparel & Fashion,1,12.72,12.72,Refunded,Credit Card,2026-08-04
ORD-100048,CUST-4152,MCH-577,Home & Kitchen,2,52.18,104.36,Delivered,Stripe,2026-08-06
ORD-100049,CUST-2585,MCH-599,Health & Personal Care,2,62.54,130.07,Delivered,Stripe,2026-09-18
ORD-100050,CUST-4943,MCH-650,Books & Media,1,46.94,46.94,Processing,Credit Card,2026-09-04
ORD-100051,CUST-8555,MCH-333,Apparel & Fashion,1,14.84,14.84,Delivered,Stripe,2026-09-08
ORD-100052,CUST-4073,MCH-784,Home & Kitchen,2,182.17,364.34,Delivered,Stripe,2026-07-15
ORD-100053,CUST-2021,MCH-403,Apparel & Fashion,4,157.41,634.63,Cancelled,Credit Card,2026-07-31
ORD-100054,CUST-4843,MCH-418,Electronics,2,70.29,140.58,Delivered,Credit Card,2026-09-02
ORD-100055,CUST-8989,MCH-634,Books & Media,3,15.68,52.03,Shipped,Apple Pay,2026-04-05
ORD-100056,CUST-7873,MCH-465,Health & Personal Care,2,16.42,37.83,Delivered,PayPal,2026-07-04
ORD-100057,CUST-6675,MCH-400,Sports & Fitness,2,17.31,44.61,Delivered,Stripe,2026-09-05
ORD-100058,CUST-1161,MCH-102,Apparel & Fashion,1,38.37,38.37,Delivered,Credit Card,2026-08-09
ORD-100059,CUST-5297,MCH-346,Books & Media,1,18.24,23.23,Delivered,Credit Card,2026-08-25
ORD-100060,CUST-1995,MCH-363,Health & Personal Care,2,25.41,55.81,Delivered,Credit Card,2026-09-08
ORD-100061,CUST-8629,MCH-586,Electronics,2,55.27,115.53,Delivered,Credit Card,2026-03-27
ORD-100062,CUST-2016,MCH-615,Sports & Fitness,1,17.85,17.85,Delivered,Stripe,2026-05-24
ORD-100063,CUST-8869,MCH-318,Electronics,1,44.27,54.26,Delivered,Stripe,2026-08-19
ORD-100064,CUST-7439,MCH-647,Books & Media,2,79.82,164.63,Delivered,Apple Pay,2026-04-20
ORD-100065,CUST-8892,MCH-723,Apparel & Fashion,1,10.37,10.37,Shipped,Credit Card,2026-07-05
ORD-100066,CUST-7863,MCH-428,Home & Kitchen,1,29.86,39.85,Delivered,UPI / NetBanking,2026-08-02
ORD-100067,CUST-8916,MCH-689,Home & Kitchen,1,23.3,28.29,Cancelled,Credit Card,2026-08-24
ORD-100068,CUST-9529,MCH-212,Electronics,4,60.27,241.08,Delivered,PayPal,2026-06-30
ORD-100069,CUST-1878,MCH-329,Sports & Fitness,1,79.1,84.09,Delivered,Apple Pay,2026-06-01
ORD-100070,CUST-5887,MCH-493,Books & Media,1,13.12,18.11,Delivered,UPI / NetBanking,2026-03-30
ORD-100071,CUST-5859,MCH-324,Home & Kitchen,2,37.83,75.66,Delivered,Stripe,2026-04-09
ORD-100072,CUST-7331,MCH-475,Apparel & Fashion,3,15.6,56.79,Processing,Stripe,2026-09-18
ORD-100073,CUST-9571,MCH-245,Apparel & Fashion,2,15.41,35.81,Delivered,Stripe,2026-08-09
ORD-100074,CUST-9684,MCH-382,Electronics,1,33.88,43.87,Delivered,PayPal,2026-04-28
ORD-100075,CUST-8208,MCH-173,Health & Personal Care,1,119.19,129.18,Refunded,Apple Pay,2026-04-01
ORD-100076,CUST-6276,MCH-395,Home & Kitchen,1,69.14,74.13,Shipped,PayPal,2026-07-07
ORD-100077,CUST-3062,MCH-203,Home & Kitchen,2,58.35,116.7,Delivered,Stripe,2026-04-30
ORD-100078,CUST-1064,MCH-753,Apparel & Fashion,1,71.97,76.96,Delivered,Apple Pay,2026-06-04
ORD-100079,CUST-9006,MCH-786,Books & Media,1,66.82,66.82,Cancelled,Stripe,2026-06-19
ORD-100080,CUST-3568,MCH-750,Sports & Fitness,1,12.12,17.11,Delivered,Credit Card,2026-06-05
ORD-100081,CUST-6463,MCH-770,Home & Kitchen,4,70.07,285.27,Refunded,Apple Pay,2026-05-09
ORD-100082,CUST-3027,MCH-796,Books & Media,3,122.4,372.19,Refunded,Credit Card,2026-09-12
ORD-100083,CUST-3695,MCH-227,Electronics,3,40.37,121.11,Shipped,Stripe,2026-06-18
ORD-100084,CUST-6258,MCH-765,Sports & Fitness,2,19.05,43.09,Shipped,UPI / NetBanking,2026-07-17
ORD-100085,CUST-6618,MCH-439,Electronics,1,15.02,20.01,Delivered,Apple Pay,2026-07-24
ORD-100086,CUST-7736,MCH-799,Electronics,1,9.67,14.66,Delivered,Credit Card,2026-08-27
ORD-100087,CUST-1391,MCH-562,Sports & Fitness,1,176.23,176.23,Delivered,PayPal,2026-06-26
ORD-100088,CUST-6892,MCH-597,Apparel & Fashion,1,125.73,135.72,Delivered,PayPal,2026-04-02
ORD-100089,CUST-4561,MCH-512,Apparel & Fashion,1,28.01,28.01,Delivered,Apple Pay,2026-07-07
ORD-100090,CUST-7184,MCH-493,Books & Media,2,51.5,112.99,Delivered,Stripe,2026-05-04
ORD-100091,CUST-4099,MCH-149,Books & Media,1,117.43,127.42,Delivered,Credit Card,2026-09-05
ORD-100092,CUST-7278,MCH-353,Electronics,2,43.7,92.39,Delivered,Stripe,2026-04-28
ORD-100093,CUST-9392,MCH-620,Apparel & Fashion,4,49.07,201.27,Delivered,Stripe,2026-07-25
ORD-100094,CUST-4104,MCH-443,Electronics,1,22.39,22.39,Delivered,Stripe,2026-06-25
ORD-100095,CUST-8215,MCH-328,Books & Media,1,13.19,23.18,Delivered,Stripe,2026-08-11
ORD-100096,CUST-3454,MCH-703,Apparel & Fashion,1,32.01,37,Delivered,Stripe,2026-07-23
ORD-100097,CUST-9996,MCH-310,Electronics,1,161.91,166.9,Processing,Credit Card,2026-06-17
ORD-100098,CUST-3731,MCH-640,Apparel & Fashion,2,23.06,51.11,Delivered,UPI / NetBanking,2026-04-06
ORD-100099,CUST-9154,MCH-150,Books & Media,2,221.36,447.71,Delivered,PayPal,2026-09-17
ORD-100100,CUST-6056,MCH-408,Electronics,5,26.86,139.29,Delivered,PayPal,2026-09-20
ORD-100101,CUST-9110,MCH-267,Electronics,2,67.23,139.45,Delivered,Stripe,2026-08-21
ORD-100102,CUST-4840,MCH-547,Books & Media,2,59.1,118.2,Delivered,Stripe,2026-09-21
ORD-100103,CUST-2028,MCH-790,Electronics,5,90.7,463.49,Delivered,PayPal,2026-04-29
ORD-100104,CUST-8385,MCH-414,Home & Kitchen,1,10.2,10.2,Delivered,Stripe,2026-04-07
ORD-100105,CUST-1502,MCH-195,Apparel & Fashion,2,45.15,95.29,Delivered,Stripe,2026-06-08
ORD-100106,CUST-7910,MCH-476,Electronics,5,127.04,640.19,Delivered,PayPal,2026-08-05
ORD-100107,CUST-7938,MCH-327,Home & Kitchen,1,27.46,32.45,Delivered,Stripe,2026-07-11
ORD-100108,CUST-5488,MCH-137,Home & Kitchen,3,61.71,190.12,Delivered,Credit Card,2026-09-19
ORD-100109,CUST-1206,MCH-281,Electronics,1,10,10,Shipped,Credit Card,2026-04-03
ORD-100110,CUST-6134,MCH-745,Home & Kitchen,4,28.46,123.83,Delivered,Stripe,2026-04-03
ORD-100111,CUST-6977,MCH-464,Electronics,1,50.71,55.7,Delivered,Stripe,2026-03-31
ORD-100112,CUST-8721,MCH-722,Health & Personal Care,2,52.49,109.97,Delivered,Credit Card,2026-04-07
ORD-100113,CUST-8035,MCH-598,Home & Kitchen,1,13.59,18.58,Delivered,Apple Pay,2026-04-24
ORD-100114,CUST-2484,MCH-646,Apparel & Fashion,2,85.28,180.55,Cancelled,Credit Card,2026-05-09
ORD-100115,CUST-8858,MCH-326,Sports & Fitness,2,9.15,23.29,Processing,UPI / NetBanking,2026-04-21
ORD-100116,CUST-1863,MCH-437,Sports & Fitness,1,14.33,14.33,Shipped,Credit Card,2026-08-24
ORD-100117,CUST-3790,MCH-787,Electronics,5,56.63,293.14,Refunded,Stripe,2026-07-30
ORD-100118,CUST-8408,MCH-761,Apparel & Fashion,2,122.59,255.17,Delivered,Stripe,2026-03-31
ORD-100119,CUST-9755,MCH-417,Electronics,4,34.59,143.35,Delivered,Stripe,2026-05-03
ORD-100120,CUST-6116,MCH-141,Sports & Fitness,1,93.9,93.9,Shipped,PayPal,2026-05-03
ORD-100121,CUST-7019,MCH-334,Electronics,1,57.03,62.02,Shipped,Stripe,2026-09-18
ORD-100122,CUST-2757,MCH-242,Electronics,2,49.44,98.88,Delivered,UPI / NetBanking,2026-04-11
ORD-100123,CUST-8574,MCH-782,Electronics,1,21.99,21.99,Delivered,Credit Card,2026-09-21
ORD-100124,CUST-7374,MCH-631,Health & Personal Care,3,14.95,44.85,Delivered,Stripe,2026-06-17
ORD-100125,CUST-7892,MCH-284,Home & Kitchen,2,95.7,196.39,Delivered,Stripe,2026-06-08
ORD-100126,CUST-2678,MCH-501,Sports & Fitness,1,46.13,56.12,Delivered,PayPal,2026-09-03
ORD-100127,CUST-4242,MCH-423,Health & Personal Care,1,54.14,64.13,Shipped,Apple Pay,2026-09-19
ORD-100128,CUST-5636,MCH-127,Electronics,5,21.42,117.09,Shipped,PayPal,2026-06-02
ORD-100129,CUST-2059,MCH-369,Apparel & Fashion,1,13.45,23.44,Cancelled,Credit Card,2026-08-11
ORD-100130,CUST-7668,MCH-352,Health & Personal Care,1,32.34,42.33,Processing,Stripe,2026-07-24
ORD-100131,CUST-4157,MCH-349,Health & Personal Care,2,8.99,22.97,Delivered,UPI / NetBanking,2026-07-02
ORD-100132,CUST-6915,MCH-469,Apparel & Fashion,1,29.22,29.22,Processing,Stripe,2026-07-06
ORD-100133,CUST-3693,MCH-393,Home & Kitchen,2,13,26,Delivered,Credit Card,2026-07-23
ORD-100134,CUST-4627,MCH-458,Home & Kitchen,1,44.14,44.14,Shipped,Stripe,2026-08-22
ORD-100135,CUST-6450,MCH-297,Books & Media,1,18.92,23.91,Shipped,Stripe,2026-05-21
ORD-100136,CUST-2663,MCH-288,Electronics,2,33.8,77.59,Delivered,UPI / NetBanking,2026-05-16
ORD-100137,CUST-6592,MCH-253,Apparel & Fashion,2,11.88,28.75,Cancelled,Apple Pay,2026-08-02
ORD-100138,CUST-8392,MCH-726,Health & Personal Care,5,23.93,124.64,Delivered,Stripe,2026-08-09
ORD-100139,CUST-2306,MCH-780,Home & Kitchen,1,15.37,25.36,Cancelled,PayPal,2026-07-26
ORD-100140,CUST-7776,MCH-319,Apparel & Fashion,1,35.81,35.81,Delivered,Credit Card,2026-05-29
ORD-100141,CUST-6864,MCH-560,Books & Media,1,18.59,23.58,Delivered,Stripe,2026-08-13
ORD-100142,CUST-8526,MCH-709,Health & Personal Care,1,32.8,32.8,Delivered,Stripe,2026-09-20
ORD-100143,CUST-9901,MCH-273,Home & Kitchen,3,31.03,103.08,Cancelled,PayPal,2026-08-31
ORD-100144,CUST-6575,MCH-309,Electronics,5,19.57,97.85,Delivered,PayPal,2026-06-14
ORD-100145,CUST-6530,MCH-251,Apparel & Fashion,1,78.86,78.86,Delivered,Credit Card,2026-08-22
ORD-100146,CUST-5413,MCH-449,Home & Kitchen,2,23.24,56.47,Delivered,Credit Card,2026-08-21
ORD-100147,CUST-4748,MCH-725,Sports & Fitness,2,15.51,36.01,Delivered,Credit Card,2026-05-22
ORD-100148,CUST-1663,MCH-237,Books & Media,1,30.31,40.3,Delivered,UPI / NetBanking,2026-04-22
ORD-100149,CUST-2998,MCH-676,Electronics,1,117.43,117.43,Delivered,PayPal,2026-09-03
ORD-100150,CUST-8994,MCH-286,Health & Personal Care,3,15.65,46.95,Delivered,UPI / NetBanking,2026-07-26
ORD-100151,CUST-2495,MCH-475,Sports & Fitness,1,25.81,30.8,Delivered,PayPal,2026-04-08
ORD-100152,CUST-4304,MCH-491,Electronics,5,85.71,438.54,Delivered,Stripe,2026-05-26
ORD-100153,CUST-4763,MCH-346,Home & Kitchen,1,15.68,15.68,Shipped,Stripe,2026-07-20
ORD-100154,CUST-6232,MCH-695,Electronics,2,110.1,225.19,Delivered,Stripe,2026-05-27
ORD-100155,CUST-2853,MCH-633,Electronics,1,19.77,29.76,Delivered,Credit Card,2026-06-07
ORD-100156,CUST-7585,MCH-540,Sports & Fitness,1,67.17,67.17,Delivered,UPI / NetBanking,2026-08-29
ORD-100157,CUST-2291,MCH-535,Electronics,1,9.26,9.26,Delivered,Stripe,2026-08-09
ORD-100158,CUST-4581,MCH-403,Health & Personal Care,2,70.11,150.21,Shipped,Stripe,2026-08-27
ORD-100159,CUST-8554,MCH-219,Home & Kitchen,1,74.57,74.57,Delivered,Apple Pay,2026-06-24
ORD-100160,CUST-8280,MCH-187,Home & Kitchen,3,63.93,191.79,Delivered,Stripe,2026-08-10
ORD-100161,CUST-2636,MCH-505,Electronics,1,21.51,26.5,Delivered,Stripe,2026-04-09
ORD-100162,CUST-4696,MCH-532,Health & Personal Care,1,31.07,31.07,Delivered,Stripe,2026-08-26
ORD-100163,CUST-1698,MCH-575,Apparel & Fashion,1,9.96,9.96,Delivered,UPI / NetBanking,2026-06-27
ORD-100164,CUST-5737,MCH-741,Home & Kitchen,1,81.16,81.16,Delivered,Apple Pay,2026-09-04
ORD-100165,CUST-1854,MCH-648,Apparel & Fashion,3,53.11,159.33,Delivered,Apple Pay,2026-06-14
ORD-100166,CUST-9164,MCH-248,Electronics,1,47.59,52.58,Delivered,Stripe,2026-09-06
ORD-100167,CUST-6855,MCH-607,Electronics,1,39.48,39.48,Shipped,UPI / NetBanking,2026-08-12
ORD-100168,CUST-8392,MCH-381,Apparel & Fashion,1,20.57,20.57,Delivered,Stripe,2026-09-12
ORD-100169,CUST-7528,MCH-754,Electronics,1,51.11,51.11,Refunded,Apple Pay,2026-07-14
ORD-100170,CUST-6249,MCH-582,Sports & Fitness,1,20.95,25.94,Delivered,Credit Card,2026-08-19
ORD-100171,CUST-6172,MCH-658,Apparel & Fashion,1,25.12,25.12,Delivered,Stripe,2026-04-15
ORD-100172,CUST-2707,MCH-370,Home & Kitchen,1,10.01,10.01,Processing,PayPal,2026-08-12
ORD-100173,CUST-6791,MCH-697,Home & Kitchen,4,61.86,252.43,Shipped,Stripe,2026-05-01
ORD-100174,CUST-6535,MCH-484,Health & Personal Care,1,20.85,30.84,Cancelled,Stripe,2026-04-08
ORD-100175,CUST-5931,MCH-535,Books & Media,4,10.47,51.87,Delivered,Stripe,2026-09-22
ORD-100176,CUST-4510,MCH-573,Books & Media,1,57.89,62.88,Delivered,UPI / NetBanking,2026-08-18
ORD-100177,CUST-1202,MCH-608,Home & Kitchen,2,82.38,169.75,Delivered,UPI / NetBanking,2026-03-28
ORD-100178,CUST-5218,MCH-493,Apparel & Fashion,2,58.82,117.64,Delivered,UPI / NetBanking,2026-04-11
ORD-100179,CUST-9958,MCH-225,Apparel & Fashion,1,15.07,20.06,Delivered,Stripe,2026-08-16
ORD-100180,CUST-5389,MCH-759,Apparel & Fashion,1,121.51,126.5,Delivered,Credit Card,2026-06-13
ORD-100181,CUST-3327,MCH-275,Sports & Fitness,1,87.13,92.12,Delivered,Stripe,2026-07-11
ORD-100182,CUST-9004,MCH-348,Apparel & Fashion,1,17.92,22.91,Shipped,Apple Pay,2026-05-16
ORD-100183,CUST-3931,MCH-612,Apparel & Fashion,1,79.56,89.55,Shipped,Stripe,2026-08-18
ORD-100184,CUST-8777,MCH-431,Home & Kitchen,2,22.02,49.03,Shipped,PayPal,2026-09-22
ORD-100185,CUST-1197,MCH-481,Electronics,2,136.21,277.41,Delivered,Credit Card,2026-05-14
ORD-100186,CUST-8125,MCH-123,Books & Media,2,40.45,85.89,Delivered,Credit Card,2026-08-11
ORD-100187,CUST-2930,MCH-590,Sports & Fitness,1,30.45,30.45,Delivered,Stripe,2026-04-21
ORD-100188,CUST-7287,MCH-469,Apparel & Fashion,2,87.6,175.2,Delivered,Stripe,2026-08-05
ORD-100189,CUST-9800,MCH-545,Electronics,2,77.54,160.07,Delivered,Stripe,2026-07-25
ORD-100190,CUST-5282,MCH-537,Apparel & Fashion,3,39.96,119.88,Delivered,Credit Card,2026-09-12
ORD-100191,CUST-3511,MCH-124,Apparel & Fashion,2,61.35,132.69,Delivered,PayPal,2026-08-22
ORD-100192,CUST-1659,MCH-714,Books & Media,1,22.27,22.27,Shipped,Stripe,2026-07-27
ORD-100193,CUST-3811,MCH-100,Sports & Fitness,1,21.88,21.88,Processing,Apple Pay,2026-06-12
ORD-100194,CUST-8098,MCH-706,Health & Personal Care,1,97.64,97.64,Cancelled,Apple Pay,2026-03-28
ORD-100195,CUST-7546,MCH-157,Sports & Fitness,1,45.1,50.09,Shipped,PayPal,2026-06-15
ORD-100196,CUST-2986,MCH-679,Electronics,1,29.74,34.73,Cancelled,PayPal,2026-04-20
ORD-100197,CUST-9338,MCH-519,Sports & Fitness,1,18.79,23.78,Delivered,Apple Pay,2026-03-28
ORD-100198,CUST-3911,MCH-601,Home & Kitchen,1,21.23,26.22,Refunded,Stripe,2026-05-18
ORD-100199,CUST-2734,MCH-374,Apparel & Fashion,1,57.5,67.49,Refunded,Credit Card,2026-06-15
ORD-100200,CUST-2843,MCH-300,Apparel & Fashion,1,14.25,24.24,Delivered,PayPal,2026-08-18
ORD-100201,CUST-9680,MCH-269,Sports & Fitness,1,35.68,35.68,Delivered,Stripe,2026-08-24
ORD-100202,CUST-3976,MCH-396,Apparel & Fashion,1,19.81,24.8,Delivered,Credit Card,2026-03-30
ORD-100203,CUST-2959,MCH-119,Electronics,3,80.33,240.99,Delivered,Stripe,2026-08-16
ORD-100204,CUST-6759,MCH-556,Home & Kitchen,2,27.4,64.79,Delivered,Credit Card,2026-09-05
ORD-100205,CUST-7694,MCH-592,Electronics,1,21.73,26.72,Refunded,Credit Card,2026-06-09
ORD-100206,CUST-3385,MCH-540,Health & Personal Care,1,98.81,103.8,Delivered,UPI / NetBanking,2026-05-19
ORD-100207,CUST-5736,MCH-327,Electronics,2,13.57,27.14,Delivered,Stripe,2026-04-27
ORD-100208,CUST-2802,MCH-653,Apparel & Fashion,2,29.31,63.61,Delivered,Stripe,2026-07-04
ORD-100209,CUST-9155,MCH-679,Health & Personal Care,1,12.92,17.91,Delivered,Apple Pay,2026-08-06
ORD-100210,CUST-9120,MCH-622,Apparel & Fashion,1,131.22,141.21,Delivered,UPI / NetBanking,2026-09-08
ORD-100211,CUST-7616,MCH-653,Health & Personal Care,1,34.44,39.43,Delivered,Credit Card,2026-08-27
ORD-100212,CUST-6534,MCH-592,Health & Personal Care,3,28.33,84.99,Delivered,Stripe,2026-08-19
ORD-100213,CUST-5061,MCH-475,Home & Kitchen,2,36.24,82.47,Delivered,Stripe,2026-04-11
ORD-100214,CUST-1262,MCH-360,Apparel & Fashion,3,42.3,131.89,Processing,Stripe,2026-03-28
ORD-100215,CUST-7287,MCH-590,Books & Media,1,10.88,10.88,Cancelled,PayPal,2026-04-20
ORD-100216,CUST-9815,MCH-329,Apparel & Fashion,1,24.48,24.48,Processing,Stripe,2026-04-08
ORD-100217,CUST-3049,MCH-759,Apparel & Fashion,3,19.63,68.88,Delivered,Credit Card,2026-08-04
ORD-100218,CUST-6423,MCH-285,Health & Personal Care,3,15.7,52.09,Delivered,Stripe,2026-06-26
ORD-100219,CUST-5548,MCH-328,Health & Personal Care,3,72.09,216.27,Delivered,Stripe,2026-05-28
ORD-100220,CUST-4108,MCH-462,Apparel & Fashion,4,42.01,168.04,Delivered,Apple Pay,2026-07-20
ORD-100221,CUST-8158,MCH-430,Health & Personal Care,1,35.25,40.24,Delivered,Stripe,2026-08-16
ORD-100222,CUST-8400,MCH-752,Books & Media,3,16.07,53.2,Delivered,Stripe,2026-06-24
ORD-100223,CUST-4170,MCH-163,Electronics,1,28.59,38.58,Shipped,Credit Card,2026-04-02
ORD-100224,CUST-3255,MCH-481,Apparel & Fashion,1,9.8,9.8,Delivered,Stripe,2026-05-15
ORD-100225,CUST-2154,MCH-717,Home & Kitchen,2,54.68,119.35,Delivered,Credit Card,2026-08-20
ORD-100226,CUST-5499,MCH-485,Apparel & Fashion,3,8.91,26.73,Delivered,Apple Pay,2026-07-08
ORD-100227,CUST-7295,MCH-533,Home & Kitchen,2,21.85,48.69,Delivered,UPI / NetBanking,2026-09-18
ORD-100228,CUST-7197,MCH-345,Electronics,2,20.06,40.12,Delivered,Credit Card,2026-04-30
ORD-100229,CUST-2648,MCH-364,Electronics,1,49.9,49.9,Delivered,Credit Card,2026-06-13
ORD-100230,CUST-6539,MCH-528,Home & Kitchen,2,12.72,25.44,Delivered,Credit Card,2026-08-23
ORD-100231,CUST-5199,MCH-426,Electronics,1,28.19,33.18,Delivered,PayPal,2026-04-25
ORD-100232,CUST-9445,MCH-219,Apparel & Fashion,1,63.21,68.2,Delivered,UPI / NetBanking,2026-09-05
ORD-100233,CUST-3557,MCH-610,Apparel & Fashion,2,17.65,35.3,Processing,Credit Card,2026-05-12
ORD-100234,CUST-6592,MCH-615,Sports & Fitness,2,93.52,187.04,Delivered,Apple Pay,2026-07-31
ORD-100235,CUST-1098,MCH-288,Electronics,1,43.8,43.8,Delivered,Apple Pay,2026-08-01
ORD-100236,CUST-3200,MCH-339,Home & Kitchen,1,56.92,61.91,Delivered,Credit Card,2026-08-15
ORD-100237,CUST-3961,MCH-421,Health & Personal Care,1,17.73,27.72,Delivered,Apple Pay,2026-07-11
ORD-100238,CUST-5973,MCH-186,Electronics,4,37.69,150.76,Shipped,Apple Pay,2026-04-22
ORD-100239,CUST-5433,MCH-468,Home & Kitchen,2,27.64,55.28,Delivered,Apple Pay,2026-04-08
ORD-100240,CUST-3869,MCH-424,Sports & Fitness,1,111.83,121.82,Processing,Stripe,2026-08-14
ORD-100241,CUST-1956,MCH-515,Electronics,1,36.94,46.93,Delivered,Apple Pay,2026-06-11
ORD-100242,CUST-9352,MCH-374,Apparel & Fashion,1,83.85,93.84,Delivered,PayPal,2026-03-31
ORD-100243,CUST-6699,MCH-386,Books & Media,1,61.05,61.05,Processing,Stripe,2026-06-05
ORD-100244,CUST-7944,MCH-103,Electronics,2,10.5,21,Delivered,Credit Card,2026-04-15
ORD-100245,CUST-5493,MCH-131,Home & Kitchen,3,16.57,54.7,Delivered,Apple Pay,2026-07-08
ORD-100246,CUST-5911,MCH-452,Home & Kitchen,1,12.81,17.8,Processing,Stripe,2026-08-29
ORD-100247,CUST-4987,MCH-105,Health & Personal Care,1,10.58,10.58,Delivered,PayPal,2026-04-04
ORD-100248,CUST-7015,MCH-453,Health & Personal Care,1,40.86,40.86,Cancelled,Stripe,2026-06-28
